,Cell,Ensemble_Member,Country,GWL,RCP,FFDI,RH,Temperature,Precipitation,Wind_Speed,Soil_Moisture
0,"(17, 63)",akuka,USA,GWL1.5,rcp2.6,31.076839945601208,52.70440347844904,32.78229515769265,0.5090433341450591,12.941520810891186,170.42571216930043
1,"(17, 63)",akukb,USA,GWL1.5,rcp2.6,26.85918205098036,63.20730139992454,25.25548692183061,1.5060675237980996,9.899288484081918,148.48437083851206
2,"(17, 63)",akukc,USA,GWL1.5,rcp2.6,28.735752023842824,53.49039145076976,31.81555658228257,0.5723796257253942,12.231906938447372,158.0234431846469
3,"(17, 63)",akuke,USA,GWL1.5,rcp2.6,29.596470822057242,56.85002702906512,31.162476553433184,0.34638495338622766,13.462998329020829,172.17372529403022
4,"(17, 63)",akukf,USA,GWL1.5,rcp2.6,28.424713972057447,55.068046879124,30.22807219221785,0.46566273441555184,11.087100977632698,156.45412919328018
5,"(17, 63)",akukh,USA,GWL1.5,rcp2.6,27.673931139713275,71.62402725219727,30.951760292053223,0.014006486799189588,8.472657646985827,138.79717254638672
6,"(17, 63)",akukj,USA,GWL1.5,rcp2.6,30.02675626863776,51.577305459976195,33.43509216308594,0.039854656427564805,11.230318940815248,189.5483055114746
7,"(17, 63)",akukk,USA,GWL1.5,rcp2.6,28.58281551390753,52.81980815887451,32.98980396270752,0.10879648102886978,12.315614821942637,158.2106478881836
8,"(17, 63)",akukm,USA,GWL1.5,rcp2.6,24.622509510970442,71.91510009765625,14.582971572875977,2.6801818516105413,11.671317466169857,261.0380859375
9,"(17, 63)",akukn,USA,GWL1.5,rcp2.6,29.578658871320158,58.52803055445353,29.110324939092,0.12554090137644608,12.046938129913704,181.59789657592773
10,"(17, 63)",akuko,USA,GWL1.5,rcp2.6,30.076481012876616,45.420777571828744,31.846242603502777,1.6862175752648525,13.093694079066404,196.37336008172286
11,"(17, 63)",akukp,USA,GWL1.5,rcp2.6,27.111019362434856,52.38832558525933,33.14282989501953,0.047301250616182955,11.11475428411342,140.36476417824073
12,"(17, 63)",akukq,USA,GWL1.5,rcp2.6,28.075564606959972,51.95700249017454,32.5967352998023,0.5702951978660974,11.81342090486664,141.90130555395987
13,"(17, 63)",akula,USA,GWL1.5,rcp2.6,24.825392182539183,73.44126892089844,32.304039001464844,0.015193879971775459,8.162326003112973,162.35873413085938
14,"(17, 63)",akulb,USA,GWL1.5,rcp2.6,29.18930859901356,54.37225505828857,30.15811065673828,0.6458624924234843,13.431254171641772,175.99669036865234
15,"(17, 63)",akulc,USA,GWL1.5,rcp2.6,24.900268355057964,93.72633361816406,15.118707656860352,2.038940798956901,10.684743295411414,170.90274047851562
16,"(17, 63)",akuld,USA,GWL1.5,rcp2.6,29.473526566072167,46.37708589853334,32.89785131344125,0.4075819939226997,12.591503802970706,164.24109151540708
17,"(17, 63)",akulg,USA,GWL1.5,rcp2.6,28.381720598072963,60.36093728438668,28.388475915660027,0.6080345887938329,11.035184510961244,180.31080627441406
18,"(17, 63)",akuli,USA,GWL1.5,rcp2.6,29.51729772487395,62.29459583058077,28.50555700414321,2.0067448813013216,10.36285108302122,150.13212675206802
19,"(17, 63)",akulj,USA,GWL1.5,rcp2.6,26.34549844859729,55.29143977695041,30.919991302490235,0.4188321992170067,11.619794479513681,160.79251708984376
20,"(17, 63)",akull,USA,GWL1.5,rcp2.6,27.530615516204396,47.50544083118439,33.16113364696503,0.004540024855259617,13.248068681565972,153.64298820495605
