,Cell,Ensemble_Member,Country,GWL,RCP,FFDI,RH,Temperature,Precipitation,Wind_Speed,Soil_Moisture
0,"(17, 63)",akuka,USA,Baseline,rcp2.6,31.076839945601208,23.041531603101273,41.883828794452505,0.0015765602094625858,13.262886474247148,163.12448098625936
1,"(17, 63)",akukb,USA,Baseline,rcp2.6,26.85918205098036,22.95689478787509,36.64197453585538,0.016151480783512605,14.0626881243766,143.98479253595525
2,"(17, 63)",akukc,USA,Baseline,rcp2.6,28.735752023842824,24.10347790811576,40.690339481129364,0.012074380618166876,12.957342531228313,154.4213238884421
3,"(17, 63)",akuke,USA,Baseline,rcp2.6,29.596470822057242,22.92920021161641,40.083626603427,0.0014150707978101246,14.55879376130724,165.10062544313195
4,"(17, 63)",akukf,USA,Baseline,rcp2.6,28.424713972057447,23.62365756163726,40.83543432081068,0.020033168459687646,11.578795712909379,152.95507565060177
5,"(17, 63)",akukh,USA,Baseline,rcp2.6,27.673931139713275,24.6178560256958,41.628944396972656,0.0,10.525495790956398,138.23524475097656
6,"(17, 63)",akukj,USA,Baseline,rcp2.6,30.02675626863776,22.841288873127528,43.6375367300851,0.03315088262592398,11.45657883683244,176.4832548413958
7,"(17, 63)",akukk,USA,Baseline,rcp2.6,28.58281551390753,24.98118796438541,42.7893209637336,0.006216188283155188,12.147346677997689,155.21434884701134
8,"(17, 63)",akukm,USA,Baseline,rcp2.6,24.622509510970442,14.334508895874023,25.277795791625977,0.0,14.026250798482847,144.7553253173828
9,"(17, 63)",akukn,USA,Baseline,rcp2.6,29.578658871320158,19.715681850910187,39.63775642712911,0.010190113789576571,11.410192571905329,173.18803532918295
10,"(17, 63)",akuko,USA,Baseline,rcp2.6,30.076481012876616,16.47298470296358,37.63436488101357,7.004703545619937e-05,13.757991847076232,186.76449022795023
11,"(17, 63)",akukp,USA,Baseline,rcp2.6,27.111019362434856,25.54644665894685,41.63819298920808,0.005366211525092979,10.769497209454276,138.0943682635272
12,"(17, 63)",akukq,USA,Baseline,rcp2.6,28.075564606959972,22.738542332368738,38.60067247876934,0.04334921215737896,12.391358136890297,137.06533245011872
13,"(17, 63)",akula,USA,Baseline,rcp2.6,24.825392182539183,29.843505859375,44.389244079589844,0.0,9.637347711812398,139.10223388671875
14,"(17, 63)",akulb,USA,Baseline,rcp2.6,29.18930859901356,21.428979754447937,38.56811164855957,0.008666990164783783,14.146803148697044,166.37905181884764
15,"(17, 63)",akulc,USA,Baseline,rcp2.6,24.900268355057964,23.553903579711914,35.413291931152344,0.0,13.458173404504986,136.42881774902344
16,"(17, 63)",akuld,USA,Baseline,rcp2.6,29.473526566072167,22.221234583657637,39.72566495454016,0.006706576063396925,12.929432498328383,158.40921966300522
17,"(17, 63)",akulg,USA,Baseline,rcp2.6,28.381720598072963,20.901233714559805,38.58756339031717,0.0,12.45737308036314,168.40320089588994
18,"(17, 63)",akuli,USA,Baseline,rcp2.6,29.51729772487395,22.01568328633028,39.8783280989703,0.013931764260632917,11.953466541971844,149.05403496237363
19,"(17, 63)",akulj,USA,Baseline,rcp2.6,26.34549844859729,24.25968058904012,39.239677005343964,0.0012884672955237875,11.411425849903917,149.51160956488715
20,"(17, 63)",akull,USA,Baseline,rcp2.6,27.530615516204396,23.643309032215793,38.63734492133646,0.0,12.996043147322323,149.95849250344668
21,"(17, 63)",akuln,USA,Baseline,rcp2.6,30.328767800567572,20.065035932204303,38.71424450593836,0.00024084618003490898,11.380505605263245,136.33604640586702
22,"(17, 63)",akulo,USA,Baseline,rcp2.6,32.347238454576726,21.167473814222546,44.6096677992079,7.237941190396668e-05,11.734949641908182,181.86172519259983
23,"(17, 63)",akulp,USA,Baseline,rcp2.6,31.029188165463996,22.608120154250752,41.539013400222316,6.486687948769912e-05,12.249069573354799,153.9283974387429
24,"(17, 63)",akulq,USA,Baseline,rcp2.6,29.226057155583984,25.337917804718018,43.50587463378906,0.03219717873435002,10.815848403391513,138.45445505777994
25,"(17, 63)",akuma,USA,Baseline,rcp2.6,29.596550943928214,21.315714168548585,38.54540281295776,0.0026915101029523214,13.500265344120121,160.75252227783204
26,"(17, 63)",akumb,USA,Baseline,rcp2.6,31.502220871920212,16.999878659248353,35.23908115386963,0.0208497311678002,15.111926157532109,163.80446197509767
27,"(17, 63)",akumc,USA,Baseline,rcp2.6,27.818730598673664,19.840427483337514,36.16778954215672,0.0009637685371157916,14.985805567889093,175.3214681874151
28,"(17, 63)",akumf,USA,Baseline,rcp2.6,28.325293883752025,25.480821800231933,42.25089454650879,0.0009681402346341517,12.194386969488015,148.17473368326822
29,"(17, 63)",akumh,USA,Baseline,rcp2.6,27.737954158143037,21.631950787135533,40.786417552403044,0.0,9.142544725126049,151.22177124023438
30,"(17, 63)",akumj,USA,Baseline,rcp2.6,27.842348322739703,22.482222259044647,38.370773673057556,0.03343494555808624,12.093269251455064,137.32445430755615
31,"(17, 63)",akumk,USA,Baseline,rcp2.6,30.60163077132272,21.160966969918512,42.94063391201738,0.020701683177015224,12.009714308111482,181.02539858610734
32,"(17, 63)",akuml,USA,Baseline,rcp2.6,28.652248919081007,21.948153018951416,39.55523799714588,0.004261577463943971,12.984391021429772,170.0783211844308
33,"(17, 63)",akumm,USA,Baseline,rcp2.6,28.17309927887388,19.75127626458804,35.63356387615204,0.0005958531556160551,12.450800119308923,137.9066359202067
34,"(17, 63)",akumn,USA,Baseline,rcp2.6,28.780664347315852,24.145307381947834,41.57136748631795,0.0006973134437870954,11.858122378802538,157.05831069946288
