,Cell,Ensemble_Member,Country,GWL,RCP,FFDI,RH,Temperature,Precipitation,Wind_Speed,Soil_Moisture
0,"(17, 63)",akuka,USA,GWL2,rcp2.6,31.076839945601208,51.07461652621417,33.592972876320424,0.20049951667728763,12.893318611892875,169.553286055444
1,"(17, 63)",akukb,USA,GWL2,rcp2.6,26.85918205098036,60.91188846934926,27.35465500571511,0.05315960306772767,11.050937356344669,165.13408730246803
2,"(17, 63)",akukc,USA,GWL2,rcp2.6,28.735752023842824,49.81550616844028,32.67075044968549,0.4652701092927497,11.677121213248267,158.13638844209558
3,"(17, 63)",akuke,USA,GWL2,rcp2.6,29.596470822057242,49.767469536768246,33.790486427202616,0.1896217985317028,14.670257714609203,166.79005703860767
4,"(17, 63)",akukf,USA,GWL2,rcp2.6,28.424713972057447,49.60737218083562,33.08918782827016,0.0702880270693999,10.895378642089028,153.91418580751161
5,"(17, 63)",akukh,USA,GWL2,rcp2.6,27.673931139713275,73.44368743896484,24.517358779907227,0.0016788358607300324,6.802452602599024,142.48233032226562
6,"(17, 63)",akukj,USA,GWL2,rcp2.6,30.02675626863776,48.365703446524485,34.62713200705392,0.06961449867694558,12.002421910995675,189.60414096287317
7,"(17, 63)",akukk,USA,GWL2,rcp2.6,28.58281551390753,55.39206396858647,33.26394405005113,0.21501612072107204,11.90858135242086,159.13386190162515
8,"(17, 63)",akukm,USA,GWL2,rcp2.6,24.622509510970442,66.392333984375,13.507806777954102,6.328195030800998,12.041254005757022,201.7001495361328
9,"(17, 63)",akukn,USA,GWL2,rcp2.6,29.578658871320158,47.795796394348145,33.81800778706869,0.002359211324993386,11.590180169294973,184.35720252990723
10,"(17, 63)",akuko,USA,GWL2,rcp2.6,30.076481012876616,50.41215434827303,32.3413644087942,0.01541413814234296,14.631578419177984,191.99368205823396
11,"(17, 63)",akukp,USA,GWL2,rcp2.6,27.111019362434856,51.0013357091833,34.76803108497902,0.039637335066888824,10.20620858240681,152.35855102539062
12,"(17, 63)",akukq,USA,GWL2,rcp2.6,28.075564606959972,50.13238065383013,32.10290987351362,0.6996931041092411,11.78268203728174,141.12087324553846
13,"(17, 63)",akula,USA,GWL2,rcp2.6,24.825392182539183,83.49842071533203,27.76214027404785,0.05479121919051977,9.108169418752917,192.15147399902344
14,"(17, 63)",akulb,USA,GWL2,rcp2.6,29.18930859901356,48.149798469543455,32.772230072021486,0.2888363605200084,12.768327434643199,177.4313720703125
15,"(17, 63)",akulc,USA,GWL2,rcp2.6,24.900268355057964,66.07470703125,26.404932022094727,0.06174251975608058,6.743605953098545,152.45541381835938
16,"(17, 63)",akuld,USA,GWL2,rcp2.6,29.473526566072167,52.52351146098996,32.392015204941934,0.6958253940256139,12.164268934162326,170.93637362393466
17,"(17, 63)",akulg,USA,GWL2,rcp2.6,28.381720598072963,64.92442802760912,27.877839710401453,1.1557102636378043,11.00873516240813,182.69683970575747
18,"(17, 63)",akulj,USA,GWL2,rcp2.6,26.34549844859729,48.882665930853946,32.76518414815267,0.304590590883253,11.87994541324498,151.6618916829427
19,"(17, 63)",akull,USA,GWL2,rcp2.6,27.530615516204396,57.42251777648926,30.483451394473803,0.05360879956583572,12.062185808710591,159.92300953584558
20,"(17, 63)",akuln,USA,GWL2,rcp2.6,30.328767800567572,44.163187550563435,35.162431567322976,0.1656846749712357,10.811039261862955,136.7178970037722
21,"(17, 63)",akulo,USA,GWL2,rcp2.6,32.347238454576726,44.204766337076826,36.62559339735243,0.1739839106696987,12.179441033844013,188.4835957845052
22,"(17, 63)",akulp,USA,GWL2,rcp2.6,31.029188165463996,51.454504619945176,32.14733395431981,0.5714017355445585,11.971002350868313,162.66468949751422
